Longitude,Latitude,Pixel,Scan
27.2785442,61.0252517,800,1200
27.3105409,61.0247413,900,1200
27.3425355,61.0242233,1000,1200
27.374528,61.0236978,1100,1200
27.4065185,61.0231647,1200,1200
27.4385073,61.0226241,1300,1200
27.4704943,61.022076,1400,1200
27.5024798,61.0215203,1500,1200
27.5344638,61.0209571,1600,1200
27.5664465,61.0203863,1700,1200
27.5984279,61.019808,1800,1200
27.6304083,61.0192222,1900,1200
27.6623876,61.0186288,2000,1200
27.6943661,61.0180278,2100,1200
27.7263438,61.0174193,2200,1200
27.7583209,61.0168032,2300,1200
27.7902974,61.0161795,2400,1200
27.8222736,61.0155483,2500,1200
27.8542494,61.0149096,2600,1200
27.8862251,61.0142632,2700,1200
27.9182007,61.0136093,2800,1200
27.9501764,61.0129478,2900,1200
27.9821523,61.0122788,3000,1200
28.0141285,61.0116021,3100,1200
28.046105,61.0109179,3200,1200
28.0780821,61.0102261,3300,1200
28.1100599,61.0095266,3400,1200
28.1420384,61.0088196,3500,1200
28.1740178,61.008105,3600,1200
28.2059982,61.0073828,3700,1200
28.2379798,61.006653,3800,1200
28.2699625,61.0059155,3900,1200
28.3016268,61.005178,3999,1200
27.0213301,61.0125092,0,1300
27.0533339,61.0120593,100,1300
27.0853346,61.0116018,200,1300
27.1173323,61.0111368,300,1300
27.1493271,61.0106642,400,1300
27.1813192,61.0101841,500,1300
27.2133087,61.0096965,600,1300
27.2452957,61.0092014,700,1300
27.2772802,61.0086987,800,1300
27.3092625,61.0081885,900,1300
27.3412427,61.0076708,1000,1300
27.3732207,61.0071455,1100,1300
27.4051969,61.0066127,1200,1300
27.4371712,61.0060724,1300,1300
27.4691439,61.0055245,1400,1300
27.501115,61.0049691,1500,1300
27.5330846,61.0044062,1600,1300
27.5650528,61.0038357,1700,1300
27.5970199,61.0032577,1800,1300
27.6289858,61.0026721,1900,1300
27.6609508,61.0020789,2000,1300
27.6929149,61.0014783,2100,1300
27.7248782,61.00087,2200,1300
27.7568409,61.0002543,2300,1300
27.788803,60.9996309,2400,1300
27.8207648,60.999,2500,1300
27.8527263,60.9983616,2600,1300
27.8846876,60.9977155,2700,1300
27.9166488,60.9970619,2800,1300
27.9486101,60.9964008,2900,1300
27.9805716,60.995732,3000,1300
28.0125334,60.9950557,3100,1300
28.0444956,60.9943718,3200,1300
28.0764583,60.9936803,3300,1300
28.1084217,60.9929813,3400,1300
28.1403858,60.9922746,3500,1300
28.1723509,60.9915603,3600,1300
28.2043169,60.9908385,3700,1300
28.236284,60.990109,3800,1300
28.2682524,60.9893719,3900,1300
28.2999025,60.9886347,3999,1300
27.0201968,60.9959537,0,1400
27.0521862,60.9955039,100,1400
27.0841724,60.9950466,200,1400
27.1161557,60.9945818,300,1400
27.1481362,60.9941095,400,1400
27.1801139,60.9936296,500,1400
27.2120889,60.9931422,600,1400
27.2440615,60.9926473,700,1400
27.2760317,60.9921448,800,1400
27.3079995,60.9916349,900,1400
27.3399653,60.9911174,1000,1400
27.3719289,60.9905923,1100,1400
27.4038907,60.9900598,1200,1400
27.4358506,60.9895197,1300,1400
27.4678089,60.9889721,1400,1400
27.4997656,60.9884169,1500,1400
27.5317208,60.9878542,1600,1400
27.5636747,60.987284,1700,1400
27.5956274,60.9867062,1800,1400
27.6275789,60.9861209,1900,1400
27.6595295,60.9855281,2000,1400
27.6914792,60.9849277,2100,1400
27.7234281,60.9843197,2200,1400
27.7553765,60.9837042,2300,1400
27.7873242,60.9830812,2400,1400
27.8192716,60.9824506,2500,1400
27.8512187,60.9818124,2600,1400
27.8831657,60.9811667,2700,1400
27.9151126,60.9805134,2800,1400
27.9470595,60.9798525,2900,1400
27.9790066,60.9791841,3000,1400
28.0109541,60.9785081,3100,1400
28.0429019,60.9778245,3200,1400
28.0748503,60.9771334,3300,1400
28.1067993,60.9764346,3400,1400
28.1387491,60.9757283,3500,1400
28.1706998,60.9750144,3600,1400
28.2026515,60.9742929,3700,1400
28.2346043,60.9735637,3800,1400
28.2665583,60.972827,3900,1400
28.2981941,60.9720902,3999,1400
27.0190503,60.979399,0,1500
27.0510253,60.9789494,100,1500
27.0829972,60.9784924,200,1500
27.1149661,60.9780277,300,1500
27.1469321,60.9775556,400,1500
27.1788954,60.977076,500,1500
27.2108561,60.9765888,600,1500
27.2428143,60.9760941,700,1500
27.2747701,60.9755919,800,1500
27.3067236,60.9750821,900,1500
27.3386749,60.9745649,1000,1500
27.3706242,60.9740401,1100,1500
27.4025716,60.9735078,1200,1500
27.4345172,60.9729679,1300,1500
27.4664611,60.9724206,1400,1500
27.4984034,60.9718657,1500,1500
27.5303443,60.9713032,1600,1500
27.5622838,60.9707333,1700,1500
27.5942221,60.9701558,1800,1500
27.6261593,60.9695707,1900,1500
27.6580955,60.9689782,2000,1500
27.6900309,60.968378,2100,1500
27.7219654,60.9677704,2200,1500
27.7538994,60.9671552,2300,1500
27.7858328,60.9665324,2400,1500
27.8177659,60.9659021,2500,1500
27.8496986,60.9652642,2600,1500
27.8816312,60.9646188,2700,1500
27.9135637,60.9639658,2800,1500
27.9454963,60.9633053,2900,1500
27.9774291,60.9626372,3000,1500
28.0093622,60.9619615,3100,1500
28.0412957,60.9612783,3200,1500
28.0732297,60.9605874,3300,1500
28.1051644,60.959889,3400,1500
28.1370999,60.959183,3500,1500
28.1690362,60.9584695,3600,1500
28.2009735,60.9577483,3700,1500
28.232912,60.9570195,3800,1500
28.2648517,60.9562831,3900,1500
28.2964733,60.9555466,3999,1500
27.0179111,60.96285,0,1600
27.0498717,60.9624007,100,1600
27.0818293,60.9619438,200,1600
27.1137838,60.9614794,300,1600
27.1457355,60.9610075,400,1600
27.1776845,60.9605281,500,1600
27.2096308,60.9600411,600,1600
27.2415746,60.9595467,700,1600
27.273516,60.9590447,800,1600
27.3054552,60.9585352,900,1600
27.3373922,60.9580182,1000,1600
27.3693271,60.9574936,1100,1600
27.4012601,60.9569616,1200,1600
27.4331914,60.956422,1300,1600
27.4651209,60.9558749,1400,1600
27.4970489,60.9553202,1500,1600
27.5289754,60.9547581,1600,1600
27.5609006,60.9541884,1700,1600
27.5928246,60.9536112,1800,1600
27.6247474,60.9530264,1900,1600
27.6566693,60.9524341,2000,1600
27.6885903,60.9518343,2100,1600
27.7205106,60.9512269,2200,1600
27.7524302,60.950612,2300,1600
27.7843493,60.9499896,2400,1600
27.816268,60.9493596,2500,1600
27.8481864,60.948722,2600,1600
27.8801047,60.9480769,2700,1600
27.9120229,60.9474242,2800,1600
27.9439412,60.946764,2900,1600
27.9758596,60.9460962,3000,1600
28.0077784,60.9454209,3100,1600
28.0396976,60.944738,3200,1600
28.0716173,60.9440475,3300,1600
28.1035377,60.9433494,3400,1600
28.1354588,60.9426438,3500,1600
28.1673808,60.9419305,3600,1600
28.1993039,60.9412097,3700,1600
28.231228,60.9404813,3800,1600
28.2631534,60.9397453,3900,1600
28.2947609,60.9390092,3999,1600
27.0167726,60.9462951,0,1700
27.0487188,60.945846,100,1700
27.080662,60.9453893,200,1700
27.1126022,60.9449252,300,1700
27.1445395,60.9444535,400,1700
27.1764741,60.9439743,500,1700
27.2084061,60.9434876,600,1700
27.2403356,60.9429934,700,1700
27.2722627,60.9424916,800,1700
27.3041875,60.9419824,900,1700
27.3361101,60.9414656,1000,1700
27.3680307,60.9409413,1100,1700
27.3999494,60.9404095,1200,1700
27.4318663,60.9398702,1300,1700
27.4637815,60.9393234,1400,1700
27.4956952,60.938769,1500,1700
27.5276074,60.9382071,1600,1700
27.5595182,60.9376377,1700,1700
