region,frame,variant,score,decision
0,18,brightness,0.5933253765106201,1
0,19,original,0.6373655796051025,1
0,19,noise,0.6139094829559326,1
0,19,rotated,0.6886125802993774,1
0,19,brightness,0.601264476776123,1
0,20,original,0.6404240131378174,1
0,20,noise,0.6238893866539001,1
0,20,rotated,0.6789321899414062,1
0,20,brightness,0.6169992685317993,1
0,21,original,0.6547592878341675,1
0,21,noise,0.648444414138794,1
0,21,rotated,0.6705839037895203,1
0,21,brightness,0.6342869400978088,1
0,22,original,0.6538172364234924,1
0,22,noise,0.6360434293746948,1
0,22,rotated,0.6844090819358826,1
0,22,brightness,0.6276654005050659,1
0,23,original,0.6733120083808899,1
0,23,noise,0.6580729484558105,1
0,23,rotated,0.7001984715461731,1
0,23,brightness,0.6440749168395996,1
0,24,original,0.6736456751823425,1
0,24,noise,0.6479928493499756,1
0,24,rotated,0.6988922953605652,1
0,24,brightness,0.6544992923736572,1
1,0,original,0.5845307111740112,1
1,0,noise,0.5477838516235352,1
1,0,rotated,0.5834453105926514,1
1,0,brightness,0.6114734411239624,1
1,1,original,0.6277105212211609,1
1,1,noise,0.5746375322341919,1
1,1,rotated,0.5402920842170715,1
1,1,brightness,0.6110756993293762,1
1,2,original,0.6131389737129211,1
1,2,noise,0.5600157976150513,1
1,2,rotated,0.5111813545227051,1
1,2,brightness,0.5941235423088074,1
1,3,original,0.5812800526618958,1
1,3,noise,0.5303286910057068,1
1,3,rotated,0.4978921711444855,0
1,3,brightness,0.5657846331596375,1
1,4,original,0.5674087405204773,1
1,4,noise,0.5209898352622986,1
1,4,rotated,0.494141161441803,0
1,4,brightness,0.5536378026008606,1
1,5,original,0.5607975125312805,1
1,5,noise,0.5112270712852478,1
1,5,rotated,0.48207032680511475,0
1,5,brightness,0.5451068878173828,1
1,6,original,0.5460593700408936,1
1,6,noise,0.5134943723678589,1
1,6,rotated,0.49186238646507263,0
1,6,brightness,0.5410557389259338,1
1,7,original,0.5392009615898132,1
1,7,noise,0.5014252662658691,1
1,7,rotated,0.49641987681388855,0
1,7,brightness,0.5398023724555969,1
1,8,original,0.5457982420921326,1
1,8,noise,0.5113096833229065,1
1,8,rotated,0.5076162815093994,1
1,8,brightness,0.5393897294998169,1
1,9,original,0.5626920461654663,1
1,9,noise,0.507439911365509,1
1,9,rotated,0.5283089280128479,1
1,9,brightness,0.5533508062362671,1
1,10,original,0.5771186351776123,1
1,10,noise,0.5155054330825806,1
1,10,rotated,0.537527859210968,1
1,10,brightness,0.570435106754303,1
1,11,original,0.5833896994590759,1
1,11,noise,0.5120425820350647,1
1,11,rotated,0.5462818145751953,1
1,11,brightness,0.5082250237464905,1
1,12,original,0.6158477663993835,1
1,12,noise,0.5555477142333984,1
1,12,rotated,0.5639118552207947,1
1,12,brightness,0.602759838104248,1
1,13,original,0.6695793867111206,1
1,13,noise,0.5984739661216736,1
1,13,rotated,0.5729308724403381,1
1,13,brightness,0.6466207504272461,1
1,14,original,0.6814074516296387,1
1,14,noise,0.5973491668701172,1
1,14,rotated,0.6190452575683594,1
1,14,brightness,0.6559450030326843,1
1,15,original,0.6393336653709412,1
1,15,noise,0.5849617123603821,1
1,15,rotated,0.683538556098938,1
1,15,brightness,0.6276893019676208,1
1,16,original,0.598484992980957,1
1,16,noise,0.5654007792472839,1
1,16,rotated,0.7074198126792908,1
1,16,brightness,0.5920957922935486,1
1,17,original,0.5555721521377563,1
1,17,noise,0.5162821412086487,1
1,17,rotated,0.7067425847053528,1
1,17,brightness,0.5584030747413635,1
1,18,original,0.5337663888931274,1
1,18,noise,0.5066774487495422,1
1,18,rotated,0.6983633041381836,1
